date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Naogaon,Bogra,Narsingdi,Sunamganj,Cox's Bazar,Jaipurhat,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-05-07,0,0,5,0,1,1,0,3,0,0,2,0,154,0,3,1,0,3,0,1,26,1,0,1,1,1,4,1,2,0,0,0,3,1,0,1,1,1,1,0,2,1,0,1,0,1,2,0,1,1,1,2,0,0,0,0,0,0,1,4,0,0,2,0,1
2020-05-08,0,0,4,0,0,1,0,3,0,0,0,0,145,0,0,0,0,0,0,1,26,0,0,0,1,1,2,0,0,1,4,0,1,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,3,0,0,0,0,0
2020-05-09,0,0,6,0,1,1,0,0,0,0,0,0,121,0,1,0,0,2,1,1,21,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,15,1,1,2,0,0
2020-05-10,0,1,4,0,0,0,0,1,0,0,0,0,89,0,1,0,0,4,0,0,24,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,1,0,0,0,1,2,0,2,0,0,1,0,0,0,0,2,0,0,3,0,1,0,0,0
2020-05-11,0,0,1,0,1,2,0,1,1,0,0,1,111,0,0,0,0,0,1,0,39,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
2020-05-12,2,0,7,0,7,0,0,1,0,0,0,1,131,0,0,1,0,8,0,1,31,1,2,0,1,0,1,1,3,0,0,0,1,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2020-05-13,1,0,5,0,4,0,0,1,0,0,0,0,115,0,0,1,0,4,0,0,28,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,3,1,0
2020-05-14,3,0,5,1,0,0,0,0,1,0,0,0,145,0,2,0,0,5,0,0,28,0,2,0,1,1,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,3,0,0,0,0
2020-05-15,1,0,9,0,0,0,0,0,0,0,1,0,109,0,1,2,0,3,0,0,28,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,3,2,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1
2020-05-16,0,0,9,0,0,2,0,1,0,2,0,0,170,1,1,1,0,2,0,2,38,0,1,0,0,2,2,0,1,1,0,0,0,0,0,2,0,1,0,3,0,2,2,0,2,0,0,0,0,5,2,4,3,1,0,0,0,0,0,4,0,5,0,0,0
