date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Naogaon,Bogra,Cox's Bazar,Narsingdi,Rangpur,Jaipurhat,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-05-03,0,0,3,0,1,0,0,2,2,0,1,0,219,0,1,3,0,2,0,1,24,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
2020-05-04,0,0,7,0,1,0,0,2,0,0,1,0,157,0,3,2,0,2,1,2,42,0,2,0,1,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,5,1,0,1,0,0
2020-05-05,1,0,8,0,0,0,0,1,0,1,0,1,134,0,1,1,0,3,1,0,38,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,3,0,1,1,0,0,1,0,0,0,0,0,0,0,2,5,2,0,0,0,0,1,1,0,0,3,1,0
2020-05-06,1,1,8,0,0,1,1,1,0,1,0,0,170,0,0,0,0,4,0,1,43,0,0,0,2,1,0,1,1,0,0,0,2,0,0,1,0,3,0,2,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,4,0,0,3,0,0
2020-05-07,0,0,1,0,3,1,0,2,0,0,0,0,173,0,1,3,0,5,0,0,40,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,2,1,2,1,0,3,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,2,7,1,0,2,1,0
2020-05-08,0,0,5,1,1,0,0,2,1,0,0,0,134,0,1,1,0,3,0,0,34,0,0,1,0,2,0,2,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,6,1,0,0,0,0
2020-05-09,1,0,4,0,0,1,0,0,0,0,0,1,112,0,0,0,0,4,1,0,32,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,3,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0
2020-05-10,0,1,5,0,0,1,0,0,0,0,0,0,105,0,0,1,0,3,0,0,35,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0
2020-05-11,0,0,6,1,0,0,0,1,0,0,0,0,97,0,0,1,0,7,0,0,32,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,5,0,0,0,0,0
2020-05-12,1,0,5,0,5,1,0,1,0,0,0,0,122,0,0,2,0,5,0,0,34,0,0,0,3,0,0,4,0,0,1,0,2,1,1,0,0,4,1,3,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,1,0,0
2020-05-13,3,0,9,0,2,0,0,0,0,0,0,1,94,0,0,2,0,2,0,2,35,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,3,1,0
2020-05-14,2,0,4,1,1,1,0,0,0,0,0,0,155,0,2,0,0,7,0,0,33,1,0,0,1,1,0,1,1,0,0,0,2,0,0,0,2,4,0,0,1,0,0,1,0,0,0,1,1,0,1,0,2,1,0,1,0,0,1,2,0,1,0,0,0
