date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Cox's Bazar,Rangpur,Sunamganj,Naogaon,Narsingdi,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Netrokona,Jhenaidah,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Pabna Police line,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-05-07,0,0,2,0,1,1,0,0,0,0,0,0,116,1,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-05-08,0,0,3,0,0,1,0,0,0,0,0,0,105,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,2,0,2,0,0,0,0,0,0,0,1,0,64,0,0,1,0,1,0,0,28,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0
2020-05-10,0,0,2,0,0,0,0,1,0,0,0,0,50,0,1,1,0,0,0,0,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,1,0,4,1,0,1,0,0,0,0,0,0,80,0,0,0,0,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-05-12,0,0,0,0,0,0,0,1,0,0,0,0,84,0,0,0,0,1,0,0,24,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,1,0,6,0,0,0,0,1,0,0,0,0,74,0,0,0,0,1,0,2,14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0
2020-05-14,2,0,2,0,0,0,0,0,0,0,0,0,74,0,0,0,0,5,0,0,45,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-05-15,1,0,5,0,0,0,0,0,0,0,1,0,59,0,0,0,0,1,0,2,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-16,1,0,6,0,1,0,0,1,1,0,0,0,133,0,0,0,0,1,1,0,42,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0
