date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Bandarban,Shariatpur,Kurigram,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-06-06,7,1,31,0,4,7,1,3,2,1,3,0,671,0,6,4,0,30,2,0,143,3,5,2,3,8,5,5,8,9,0,1,13,1,3,1,6,5,0,4,4,6,1,0,1,2,2,2,1,4,1,2,1,3,0,1,0,5,1,8,4,1,6,1,3
2020-06-07,4,4,39,2,4,12,3,1,1,0,1,0,652,1,1,8,1,29,3,2,123,1,1,1,1,2,3,4,2,1,0,1,9,1,1,9,3,8,0,5,0,3,2,1,3,4,6,1,2,4,1,2,2,2,7,2,4,3,3,9,2,3,8,0,3
2020-06-08,6,1,34,1,4,4,1,7,2,1,5,2,483,1,4,4,1,16,3,3,107,1,2,2,0,5,3,3,2,5,2,0,16,0,0,2,4,7,0,5,3,7,0,1,0,1,0,1,2,6,1,7,1,6,0,1,1,0,8,13,5,1,4,1,0
2020-06-09,0,0,18,0,4,11,0,7,1,0,1,0,439,0,2,6,3,14,0,1,84,2,2,0,1,4,2,0,0,2,3,6,5,0,2,2,1,3,0,3,4,2,0,0,0,1,3,0,2,2,1,3,0,3,2,0,1,0,0,8,6,3,4,3,1
2020-06-10,5,0,20,0,2,1,0,2,2,0,3,1,279,0,3,2,0,13,1,2,73,2,0,1,0,6,4,0,0,0,0,0,5,0,0,3,1,3,2,5,0,8,0,0,0,1,2,2,0,0,1,4,4,1,0,0,1,0,1,9,2,1,2,1,1
2020-06-11,3,1,24,1,3,1,0,0,0,0,0,2,308,1,2,0,0,6,0,1,57,0,0,1,0,1,3,0,2,0,0,1,8,0,0,1,0,1,0,3,0,7,0,0,2,0,1,0,2,3,0,0,1,1,0,0,0,0,0,7,2,1,6,0,0
2020-06-12,0,2,14,0,0,1,0,4,1,0,2,3,273,0,1,2,0,9,2,2,53,0,0,1,0,3,0,3,0,0,3,0,12,0,0,3,1,3,2,2,0,1,0,1,0,0,2,1,1,1,0,4,1,2,0,0,0,2,0,1,2,4,0,0,1
2020-06-13,1,1,7,0,0,2,0,1,2,1,0,1,255,0,5,1,0,6,0,1,44,1,0,1,0,0,1,0,1,1,0,0,3,0,0,0,3,2,1,10,1,1,5,0,0,1,0,0,1,1,0,3,2,0,0,1,0,1,1,8,3,1,1,0,2
2020-06-14,1,0,3,0,2,4,0,0,2,0,1,3,248,0,0,0,0,5,1,0,52,0,0,1,1,2,2,1,0,1,0,0,2,0,3,2,3,0,1,3,0,0,2,0,0,3,1,4,1,3,1,1,1,4,1,0,1,2,1,3,0,0,1,0,0
2020-06-15,2,1,9,1,0,2,0,1,0,0,2,1,278,0,2,3,0,6,3,2,47,1,1,1,0,1,0,0,1,2,1,0,5,0,5,1,0,4,1,0,1,3,0,0,0,0,2,0,0,0,0,1,1,0,1,0,2,0,0,5,3,2,4,0,0
