date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Sunamganj,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Sherpur,Pabna,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-24,0,0,3,1,0,0,0,0,0,0,0,0,159,2,0,1,0,1,1,0,18,1,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,2,1,0,3,0,0,0,0,0,0,2,3,0,0,0,0
2020-04-25,0,0,3,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-04-26,0,0,1,0,0,0,0,0,0,1,0,0,121,0,0,0,0,1,0,0,19,0,0,3,0,1,0,0,0,0,0,1,3,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0
2020-04-27,0,0,2,0,1,0,1,1,0,0,0,2,85,2,0,0,0,0,0,0,34,0,0,0,0,2,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
2020-04-28,1,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
2020-04-29,0,0,1,0,0,2,0,0,0,0,0,0,89,1,0,0,0,1,0,3,17,0,0,0,0,1,0,1,0,0,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-04-30,1,0,2,0,0,0,0,1,0,0,0,0,94,0,1,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-01,0,0,0,0,1,0,0,0,0,1,1,0,89,0,0,3,0,1,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-02,1,0,3,0,0,0,0,0,0,0,0,0,151,0,0,0,0,2,0,0,23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-05-03,0,0,1,0,2,0,0,0,0,0,0,0,101,0,0,2,0,0,0,0,16,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
