date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Maulvibazar,Sylhet,Tangail,Chuadanga,Bagerhat,Feni,Magura,Munshiganj,Chapainawabganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Narail,Natore,Chandpur,Patuakhali,Rajbari,Jaipurhat,Gazipur,Jamalpur,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Shariatpur,Faridpur,Dinajpur,Satkhira,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Gaibandha,Bhola,Barisal,Jessore,Lalmonirhat,Panchagarh
2020-05-07,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,81,0,29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,64,0,20,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-05-09,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,66,0,17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-05-10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-05-11,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,2,0,0,0,2,0,0,47,0,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2020-05-12,0,1,0,1,2,0,0,0,2,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,88,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,1,3,1,0,59,0,24,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2020-05-14,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,99,0,28,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-15,0,0,0,0,1,0,0,1,6,0,1,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,86,2,26,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2020-05-16,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,127,0,31,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0
2020-05-17,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,1,106,0,56,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
