date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Magura,Munshiganj,Feni,Sylhet,Tangail,Bagerhat,Chuadanga,Maulvibazar,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Khagrachhari,Lakshmipur,Noakhali,Natore,Patuakhali,Chandpur,Jamalpur,Rajbari,Jaipurhat,Gazipur,Narail,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Shariatpur,Faridpur,Dinajpur,Satkhira,Bandarban,Rangpur,Bogra,Madaripur,Barguna,Brahmanbaria,Barisal,Gaibandha,Bhola,Jessore,Lalmonirhat,Panchagarh
2020-06-03,6,0,0,0,1,1,1,0,14,0,0,1,0,1,2,0,1,1,1,0,1,1,1,0,2,0,0,1,1,0,3,0,3,0,0,0,0,4,1,0,0,1,7,0,0,277,0,66,1,0,4,2,0,0,4,2,0,0,1,2,0,0,0,0,0
2020-06-04,25,1,0,2,2,0,1,1,42,5,4,7,4,6,1,2,5,6,15,2,0,0,1,1,0,0,4,1,1,5,3,0,12,2,4,3,2,1,3,1,2,2,11,0,2,581,0,179,6,2,2,1,6,0,4,5,0,1,5,5,1,0,4,1,0
2020-06-05,45,2,3,11,8,4,8,2,148,5,2,12,22,18,0,0,7,19,36,11,3,2,6,2,2,2,27,3,4,19,14,1,32,1,9,32,5,2,13,5,6,1,41,1,3,1528,0,421,8,4,11,4,1,2,8,13,3,5,4,11,3,7,3,2,0
2020-06-06,19,1,2,5,3,5,4,1,106,6,3,5,3,12,2,2,4,17,11,14,5,3,2,0,0,0,7,1,1,20,11,1,25,1,4,14,3,5,11,4,4,5,52,1,1,1296,1,317,7,5,8,6,2,4,16,11,1,2,8,17,2,2,7,1,1
2020-06-07,24,3,0,9,4,1,5,2,79,0,6,4,6,14,1,3,5,21,13,12,3,12,5,3,2,2,9,4,3,6,17,0,16,3,2,31,2,5,17,1,4,1,44,2,0,1254,6,277,7,1,6,4,4,11,4,16,4,1,8,7,1,1,4,2,4
2020-06-08,23,4,2,4,12,2,2,1,57,1,2,12,11,12,1,0,8,9,18,11,0,1,2,2,4,2,3,7,2,7,12,0,23,2,5,11,2,3,10,8,3,0,30,3,0,992,3,219,3,2,10,3,3,0,6,10,4,2,15,10,3,1,1,3,0
2020-06-09,14,3,3,5,1,2,5,1,43,0,1,8,1,7,1,1,9,5,11,2,2,1,4,1,1,0,2,0,3,11,11,4,23,0,2,17,2,4,7,5,2,3,14,3,4,851,2,178,2,1,3,5,1,1,5,6,2,1,3,8,4,3,1,0,0
2020-06-10,10,9,3,3,3,5,2,0,42,0,0,6,2,2,1,0,2,5,4,5,6,0,2,0,1,0,2,1,1,3,5,0,8,4,3,5,2,1,3,2,0,0,15,2,0,600,2,96,4,0,2,1,1,0,2,1,6,1,2,5,2,8,5,1,0
2020-06-11,13,1,1,1,4,0,5,0,25,0,1,6,1,2,1,4,0,4,7,3,1,0,1,2,2,0,1,1,4,6,4,0,7,2,1,1,0,0,3,1,1,1,17,0,1,513,2,99,1,4,5,0,1,1,1,7,1,1,4,4,4,1,3,0,1
2020-06-12,12,3,2,6,2,1,3,2,36,1,0,4,6,1,1,0,6,1,4,3,0,0,2,0,0,1,1,3,0,11,4,1,9,1,1,2,2,0,5,3,0,2,15,1,0,489,1,107,4,1,4,3,1,0,2,3,3,4,2,4,0,2,2,0,0
2020-06-13,6,0,2,2,2,2,0,4,32,1,0,1,7,5,1,0,1,10,2,1,0,0,1,0,0,0,3,0,2,3,1,0,7,2,0,2,1,2,4,1,1,0,6,0,1,447,1,73,1,0,5,4,1,0,4,8,3,0,2,7,0,1,2,0,1
2020-06-14,6,1,1,4,2,5,1,2,24,1,1,3,0,10,1,3,3,6,7,6,2,2,1,1,0,0,0,1,3,7,3,0,3,0,7,1,1,1,5,1,0,1,17,0,1,457,3,92,2,1,5,1,0,0,3,4,3,1,1,6,0,0,1,3,0
2020-06-15,12,3,1,5,1,1,5,0,18,0,0,4,3,2,1,4,0,10,8,1,4,1,2,0,0,0,0,6,2,7,3,0,3,1,1,3,0,1,6,1,0,0,21,0,2,505,1,93,0,2,3,3,4,0,2,3,3,0,3,2,1,1,4,1,0
2020-06-16,7,0,0,5,0,1,3,5,15,1,1,3,1,1,1,3,2,2,8,1,2,1,0,0,2,0,4,4,2,3,4,0,3,0,2,1,0,15,7,3,1,0,11,1,3,430,2,97,0,0,8,0,1,0,2,11,0,0,3,4,4,1,3,3,0
2020-06-17,11,1,1,5,2,2,9,0,16,2,1,7,4,2,1,2,3,3,5,4,1,0,0,1,1,0,1,1,1,4,3,0,7,0,0,4,4,2,7,1,1,0,10,2,0,418,1,68,2,0,4,4,0,2,3,2,2,2,1,5,4,1,6,0,0
2020-06-18,12,8,1,5,5,0,9,3,81,3,3,6,11,9,3,2,16,11,12,13,3,3,2,2,3,0,7,1,3,17,25,0,17,4,9,13,2,2,9,4,2,1,36,7,3,1117,3,252,8,1,4,4,10,6,17,12,4,3,3,7,16,9,17,0,0
2020-06-19,16,0,1,2,6,1,6,0,25,0,0,2,4,3,0,1,1,11,10,2,3,1,5,1,1,0,1,2,0,2,11,1,13,1,11,5,1,7,6,1,4,0,18,2,0,709,1,142,2,1,8,0,7,2,1,11,1,3,2,6,0,2,11,2,0
2020-06-20,9,2,0,2,2,1,1,1,13,3,0,5,1,7,2,8,1,7,6,1,1,1,1,0,0,1,8,0,3,6,4,1,13,0,1,7,1,3,2,1,0,0,10,2,1,592,2,120,0,5,4,2,5,0,2,8,2,2,5,16,0,2,4,1,0
2020-06-21,5,1,1,4,2,1,1,0,11,0,1,3,3,1,1,2,0,2,5,7,1,0,1,0,4,0,1,0,1,1,9,1,6,1,1,6,3,0,2,2,1,1,14,1,0,370,3,78,2,0,2,5,3,0,0,2,1,1,0,2,0,0,1,0,0
2020-06-22,13,0,2,6,1,2,2,1,12,0,2,11,4,2,0,1,2,7,3,4,2,3,0,1,1,1,0,0,1,6,2,3,7,1,0,8,5,2,3,2,3,0,4,1,0,465,1,84,1,2,0,0,3,0,6,5,0,0,11,6,0,0,5,0,0
2020-06-23,5,0,1,9,1,0,0,0,11,1,1,2,2,0,1,1,3,4,6,2,3,1,1,0,1,2,2,1,1,6,5,1,2,2,12,5,0,1,3,1,0,0,13,2,2,396,2,69,0,0,1,1,2,1,1,3,2,1,4,4,0,1,4,0,0
2020-06-24,3,2,1,2,1,0,5,0,16,1,0,7,5,4,0,1,2,1,3,7,1,0,2,0,0,1,1,0,1,0,3,0,4,0,1,2,0,1,1,2,0,0,3,1,1,369,3,62,1,1,2,2,0,1,1,4,0,1,7,1,2,1,4,1,0
2020-06-25,10,5,2,1,5,0,0,2,12,0,0,1,4,3,1,1,0,3,1,1,3,0,0,0,2,0,0,0,1,3,2,0,2,0,1,0,1,0,1,1,0,1,6,1,0,296,1,52,1,1,2,0,0,0,2,2,1,0,4,1,2,0,3,0,0
2020-06-26,1,0,1,0,0,0,4,1,21,0,2,7,3,2,0,0,0,2,5,3,1,1,4,1,0,0,0,0,3,4,2,0,3,0,3,5,3,3,0,3,2,0,7,0,3,307,0,45,1,0,2,0,2,0,0,2,0,2,5,2,0,0,0,0,0
2020-06-27,7,0,1,1,2,0,3,0,26,0,0,5,3,1,0,0,1,4,2,3,1,1,3,0,0,0,1,1,0,6,2,0,1,0,3,2,0,2,1,0,0,0,6,3,0,294,0,38,0,0,5,2,1,0,2,1,0,1,1,1,0,1,1,0,0
2020-06-28,9,0,0,3,1,0,2,1,7,1,0,4,4,1,0,0,1,0,2,7,1,0,4,0,0,0,3,0,0,6,6,1,3,0,0,3,0,0,3,0,1,0,8,0,0,240,0,48,1,0,3,1,2,2,1,1,0,2,3,3,2,2,4,0,0
2020-06-29,4,1,0,1,3,0,3,0,4,2,0,5,3,3,1,0,0,0,3,1,2,0,0,0,0,1,1,0,2,3,1,0,7,2,1,2,1,0,0,0,0,0,3,0,0,256,2,50,1,0,4,1,1,0,1,0,0,0,7,2,4,2,1,3,1
2020-06-30,10,0,1,3,2,1,0,1,13,1,0,0,1,3,0,1,3,1,2,0,2,1,2,0,0,1,0,0,1,2,3,0,2,0,0,2,1,1,2,1,2,1,4,0,1,222,1,44,3,0,4,1,2,0,0,5,0,1,5,0,0,0,4,0,1
2020-07-01,8,0,1,1,0,0,1,0,4,1,0,1,3,0,0,0,0,6,2,2,1,0,0,0,1,0,0,0,1,2,4,0,4,0,2,2,0,1,2,0,0,0,4,1,0,165,1,29,0,0,1,1,1,1,0,0,0,2,4,1,0,0,2,3,0
2020-07-02,5,0,0,0,2,0,2,0,4,1,0,0,4,0,0,0,1,9,3,2,2,0,0,0,0,1,1,0,1,0,7,1,0,0,0,2,0,1,0,1,0,1,4,0,0,187,2,27,0,2,0,1,0,0,3,1,1,0,2,8,0,0,1,0,0
2020-07-03,2,0,0,0,1,0,0,0,10,0,1,0,7,2,1,0,0,1,4,2,0,0,0,1,0,0,1,2,2,3,3,0,4,0,0,0,1,1,0,0,0,0,0,2,0,153,1,33,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
