date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Sylhet,Munshiganj,Feni,Tangail,Bagerhat,Chuadanga,Magura,Maulvibazar,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Natore,Patuakhali,Chandpur,Jamalpur,Narail,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Barguna,Brahmanbaria,Gaibandha,Bhola,Jessore,Barisal,Lalmonirhat,Panchagarh
2020-05-05,0,0,0,1,1,2,0,2,5,0,0,0,1,0,0,2,0,1,1,0,0,0,1,1,0,1,0,0,0,3,2,1,4,0,0,0,0,0,1,0,0,0,1,0,0,160,0,30,1,0,1,2,0,0,2,1,0,0,0,0,0,1,1,0,1
2020-05-06,2,0,0,0,0,1,1,0,8,0,0,2,0,1,1,1,0,1,0,1,1,0,1,0,0,0,2,0,1,2,6,0,3,0,0,2,0,0,2,1,0,0,3,0,0,144,0,30,3,1,0,0,0,0,1,0,0,0,2,4,1,3,0,0,0
2020-05-07,2,0,0,1,1,0,1,1,6,0,0,0,0,1,1,1,2,3,1,1,0,0,0,0,1,0,4,0,1,4,2,0,4,1,0,1,1,1,1,0,0,0,3,0,0,152,1,25,1,0,1,1,0,0,0,2,1,0,0,0,0,2,2,0,0
2020-05-08,1,1,0,0,0,0,1,0,3,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,2,0,1,3,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,148,1,25,1,0,1,1,0,0,4,1,0,0,0,1,0,0,0,0,0
2020-05-09,4,0,0,5,0,0,0,0,5,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,1,2,0,0,112,0,20,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0
2020-05-10,0,0,0,0,1,0,2,0,6,0,0,1,2,0,0,0,0,1,0,0,2,0,1,0,2,0,0,1,0,1,0,0,17,0,0,0,0,0,0,1,0,0,3,1,0,114,1,20,4,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0
2020-05-11,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,103,1,40,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2020-05-12,1,1,1,0,7,0,0,0,7,0,0,0,0,3,1,4,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,6,0,0,1,1,0,0,1,0,0,6,0,0,126,0,37,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-05-13,3,0,0,0,2,0,0,1,4,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,3,0,2,1,0,1,0,0,0,0,0,0,5,0,1,122,0,26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-05-14,1,0,0,1,2,0,1,1,5,1,0,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,5,0,0,122,0,28,1,0,1,0,0,0,2,1,0,0,2,0,0,1,0,0,0
