date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Sylhet,Tangail,Munshiganj,Chapainawabganj,Bagerhat,Feni,Maulvibazar,Chuadanga,Magura,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Gaibandha,Jessore,Bhola,Lalmonirhat,Panchagarh
2020-05-11,3,0,0,0,0,0,0,0,6,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,2,1,0,126,0,47,0,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0
2020-05-12,1,1,0,1,0,0,0,0,3,0,0,0,2,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,6,1,0,92,1,33,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2020-05-13,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0,1,0,0,4,0,1,112,0,33,0,0,1,1,0,0,1,4,0,2,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,0,1,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,0,0,0,0,1,0,1,0,1,4,0,0,132,1,42,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0
2020-05-15,0,0,0,2,0,0,0,0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,5,0,0,128,2,36,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0
2020-05-16,1,0,0,0,1,0,0,0,2,1,1,5,4,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,3,0,0,1,0,0,1,1,0,1,4,0,0,165,0,63,1,0,2,2,0,0,0,1,0,1,0,3,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,120,0,46,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0
2020-05-18,0,2,0,0,0,0,0,0,8,0,0,0,0,0,2,0,1,0,1,4,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,123,0,40,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2020-05-19,3,0,0,0,1,1,0,0,5,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,75,0,44,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0
2020-05-20,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,109,0,33,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-05-21,2,0,0,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,2,1,0,1,1,0,1,0,9,0,0,182,1,65,1,0,2,0,0,0,0,4,0,1,0,4,0,0,0,0,0
