date,Comilla,Sunamganj,Unknown,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Magura,Maulvibazar,Munshiganj,Feni,Bagerhat,Sylhet,Tangail,Chapainawabganj,Chuadanga,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Ã Â¦ÅÃ Â¦Â¾Ã Â¦Â®Ã Â¦Â¾Ã Â¦Â²Ã Â¦ÂªÃ Â§ÂÃ Â¦Â°,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Bhola,Jessore,Gaibandha,Lalmonirhat,Panchagarh
2020-05-26,3,0,372,2,1,0,2,0,0,18,0,0,0,0,3,0,1,0,0,0,4,3,1,0,0,1,0,4,0,2,2,1,0,7,1,0,0,0,0,3,0,0,0,14,1,0,0,1,146,2,0,4,0,2,0,0,1,2,1,0,1,0,2,0,1,0
2020-05-27,7,1,434,1,7,0,1,3,1,21,1,0,1,2,0,1,1,1,0,0,2,3,0,0,1,0,0,1,0,0,1,0,0,6,0,0,0,0,0,2,3,0,0,12,1,0,0,0,104,1,0,0,1,1,0,2,1,0,2,0,2,0,1,1,0,0
2020-05-28,8,1,453,0,3,1,0,0,0,32,0,0,0,0,1,0,0,1,1,0,9,1,0,0,0,2,0,7,0,0,0,1,0,7,1,0,1,0,0,1,2,1,0,11,0,1,0,0,115,1,0,1,0,0,0,1,3,1,0,0,2,0,1,0,0,0
2020-05-29,5,0,520,0,0,1,2,1,0,22,1,0,5,0,2,0,0,0,7,1,3,4,2,1,0,1,0,2,0,1,4,0,0,7,0,0,0,1,1,3,1,0,0,8,0,0,0,3,138,7,0,2,1,0,0,1,2,2,0,0,0,1,1,0,0,0
2020-05-30,1,0,525,2,1,0,2,2,1,23,1,1,0,0,0,0,0,2,3,0,7,1,1,3,0,3,0,3,1,0,1,3,0,12,0,0,0,0,1,0,0,1,0,11,0,0,0,0,119,3,0,0,4,0,0,1,0,0,1,0,0,1,1,0,0,0
2020-05-31,3,1,537,2,0,0,0,2,0,14,0,0,3,1,2,0,0,2,0,0,6,1,0,0,0,1,0,1,0,0,5,0,0,4,2,0,2,0,0,2,0,0,0,6,0,0,0,0,138,5,2,0,2,2,3,1,0,2,1,0,6,0,0,1,0,2
2020-06-01,9,0,509,1,3,1,0,0,0,21,0,1,3,6,0,0,6,2,1,1,7,1,3,1,0,0,0,0,0,2,1,0,0,12,1,0,1,0,0,2,2,3,0,16,1,0,0,3,122,2,1,0,0,0,0,0,1,0,5,0,3,0,0,0,1,0
2020-06-02,4,2,533,1,1,0,0,1,2,26,1,1,2,1,2,0,1,5,3,0,7,1,0,0,0,0,0,1,1,1,4,1,0,4,1,0,0,0,0,4,1,4,0,20,0,1,0,0,101,0,0,0,1,1,0,1,1,1,4,0,2,0,4,0,0,0
2020-06-03,7,0,493,1,0,0,1,1,0,20,0,0,1,0,1,0,1,2,1,0,5,1,0,1,0,1,0,0,1,0,4,2,0,9,1,0,0,0,0,3,2,4,1,24,0,0,0,0,107,0,0,2,4,1,0,2,3,0,3,0,5,0,4,2,0,1
2020-06-04,22,3,965,2,4,0,1,2,1,67,1,5,10,12,16,2,2,6,8,1,20,5,0,1,1,2,1,7,0,5,5,5,0,25,11,2,0,1,3,13,8,3,1,23,1,0,0,2,234,6,7,6,3,4,0,10,4,0,10,3,7,0,2,3,3,2
2020-06-05,104,7,2567,3,23,13,2,15,2,265,4,5,27,20,33,7,11,14,22,1,36,23,4,4,4,11,2,26,9,5,27,18,2,52,7,3,8,3,8,29,39,3,3,66,2,8,0,5,650,10,6,17,12,7,1,20,15,10,17,7,27,9,13,3,4,2
2020-06-06,55,3,2064,9,17,4,2,6,5,169,6,5,7,8,25,4,9,11,22,10,24,11,1,11,5,1,4,13,6,6,23,17,1,42,15,2,7,2,10,26,25,5,5,53,9,3,0,6,435,14,2,13,6,5,5,11,24,13,13,0,21,6,7,8,7,2
2020-06-07,54,4,2091,15,17,12,2,7,3,134,6,5,18,15,27,5,5,5,23,2,31,15,2,7,5,2,1,19,2,6,20,22,3,36,8,4,6,3,6,29,31,5,1,80,2,1,0,5,406,6,3,13,15,2,10,8,24,8,20,2,12,5,13,2,7,1
2020-06-08,48,1,1522,8,16,10,3,15,1,127,2,0,13,10,38,0,1,9,30,2,19,14,1,4,5,1,4,9,5,4,16,15,3,32,13,1,8,2,1,11,16,8,1,47,3,2,0,2,331,14,5,14,5,4,2,9,19,8,20,5,17,3,10,8,0,0
2020-06-09,31,4,1327,5,8,1,4,0,2,80,0,0,9,12,20,1,6,8,16,4,16,13,0,1,0,2,0,8,1,6,16,13,2,24,2,1,2,1,3,14,17,0,2,43,4,4,0,5,241,0,5,6,4,4,3,13,9,8,5,3,8,2,9,7,2,1
2020-06-10,20,10,1010,1,7,6,2,0,1,66,4,4,13,12,8,3,6,2,16,4,24,9,4,1,1,2,1,4,3,3,14,24,2,19,2,0,3,1,3,14,10,1,0,21,1,0,0,2,158,2,0,5,5,3,0,5,10,1,13,5,13,7,8,6,1,0
2020-06-11,20,4,881,0,3,5,0,3,1,31,0,2,4,3,3,1,2,5,9,0,21,5,1,3,1,2,3,4,0,6,4,11,1,14,5,1,5,2,5,7,10,2,1,32,0,0,0,4,142,4,2,7,3,1,0,2,14,6,9,0,6,1,3,2,1,0
2020-06-12,23,0,843,1,1,10,0,6,6,54,2,0,6,6,8,1,2,6,4,1,8,2,1,1,0,3,2,9,3,4,7,6,4,15,1,0,2,2,1,4,12,4,0,20,1,4,0,4,137,7,2,4,2,0,1,1,7,4,3,4,5,3,4,5,0,1
2020-06-13,7,3,733,0,4,4,5,3,5,40,5,0,6,6,4,0,2,4,13,0,13,3,0,3,0,1,1,1,2,2,7,9,1,9,3,1,3,1,0,9,8,5,0,8,0,2,0,2,134,2,1,2,4,0,1,7,13,4,4,0,4,1,3,3,1,1
2020-06-14,20,0,716,2,5,3,1,2,3,34,3,4,8,5,12,2,1,2,8,2,10,6,1,0,0,1,0,6,1,2,8,6,0,13,7,0,0,0,1,12,4,0,0,14,1,4,0,4,120,3,1,5,2,1,0,3,5,1,7,1,7,3,5,4,2,0
2020-06-15,13,2,761,2,6,4,2,4,0,48,1,0,3,7,3,2,1,2,6,3,13,1,1,1,1,1,1,3,2,3,8,8,1,9,1,1,0,1,1,5,5,0,0,28,2,1,0,2,145,5,1,5,2,2,6,8,9,5,2,1,6,1,13,0,2,1
2020-06-16,12,2,734,2,10,3,2,0,3,31,2,0,5,5,5,1,2,2,6,1,13,4,0,0,0,1,1,15,5,5,10,11,2,4,4,0,1,1,1,18,6,17,0,8,1,1,0,3,147,2,2,7,4,2,0,10,14,5,5,3,8,2,7,4,3,0
